7/4	4.6	46.6
14/4	4.9	41.9
21/4	5.3	40.6
28/4	5.4	56.5
5/5	7.5	49.3
12/5	8.2	56.2
19/5	8.6	58.6
26/5	7.0	66.8
2/6	7.4	53.3
9/6	5.8	50.8
16/6	5.8	44.4
23/6	5.0	43.2
30/6	4.5	32.8
7/7	3.6	35.3
14/7	3.8	40.2
21/7	6.0	29.8
28/7	2.8	36.6
4/8	3.3	24.7
11/8	3.1	19.5
18/8	3.6	27.0
25/8	3.5	34.0
1/9	2.3	29.3
8/9	2.1	19.5
15/9	4.0	36.9
22/9	3.1	33.2
29/9	2.7	38.5
6/10	2.6	37.5
13/10	2.1	33.5
20/10	2.9	32.5
27/10	2.5	38.3
3/11	2.1	34.7
10/11	2.5	31.7
17/11	2.5	32.2
24/11	3.1	33.5
1/12	2.8	32.8
8/12	2.8	35.7
15/12	3.7	38.6
22/12	4.1	41.1
29/12	3.7	36.3
5/1	1.9	34.2
12/1	2.7	33.4
19/1	3.2	36.5
26/1	4.9	43.6
2/2	3.6	40.1
9/2	3.6	23.6
16/2	4.9	20.5
23/2	4.2	43.6
2/3	3.2	47.6
9/3	4.1	47.5
16/3	3.4	40.8
23/3	2.7	47.6
30/3	3.6	53.7
6/4	3.4	49.1
13/4	3.6	36.6
20/4	3.2	51.7
27/4	3.8	31.3
4/5	3.3	32.8
11/5	3.6	44.5
18/5	4.4	42.9
25/5	3.1	41.0
1/6	3.0	42.7
8/6	4.8	41.6
15/6	3.4	39.5
22/6	3.2	40.2
29/6	3.5	41.8
6/7	3.7	49.0
13/7	4.0	35.0
20/7	4.9	39.0
27/7	4.6	34.9
3/8	4.2	36.0
10/8	4.0	37.7
17/8	3.2	36.2
24/8	4.1	40.5
31/8	3.8	40.6
7/9	4.1	37.9
14/9	4.7	30.2
21/9	5.4	43.3
28/9	3.0	29.7
5/10	3.4	49.6
12/10	2.8	41.2
19/10	3.3	41.0
26/10	2.8	38.5
2/11	2.8	44.3
9/11	2.5	35.6
16/11	2.7	33.9
23/11	2.7	33.5
30/11	1.9	37.6
7/12	3.5	33.5
14/12	3.9	37.8
21/12	3.7	36.4
28/12	4.7	33.6
4/1	3.4	45.0
11/1	5.5	43.8
18/1	5.9	52.9
25/1	6.8	50.6
1/2	9.0	48.3
8/2	7.1	59.5
15/2	5.8	35.5
22/2	9.3	47.2
1/3	7.1	47.9
8/3	6.6	37.5
15/3	8.7	55.3
22/3	7.9	51.4
29/3	6.2	47.8
5/4	5.4	45.2
12/4	6.3	43.7
19/4	6.1	43.8
26/4	4.5	50.8
3/5	3.1	38.8
10/5	3.1	41.8
17/5	3.1	33.3
24/5	4.8	42.3
31/5	3.9	49.9
7/6	5.0	56.5
14/6	2.8	46.4
21/6	4.1	48.7
28/6	5.5	41.7
5/7	4.2	32.3
12/7	3.9	40.3
19/7	5.8	40.5
26/7	4.5	31.3
2/8	4.2	22.9
9/8	4.0	16.4
16/8	3.7	10.0
23/8	3.1	30.5
30/8	2.4	30.1
6/9	3.4	33.3
13/9	4.0	45.2
20/9	3.3	44.5
27/9	4.2	24.7
4/10	2.6	29.4
11/10	2.6	27.5
18/10	3.4	36.1
25/10	6.0	38.4
1/11	2.6	42.4
8/11	3.2	41.3
15/11	4.8	30.8
22/11	3.9	45.7
29/11	2.8	49.5
6/12	2.7	38.9
13/12	3.9	36.5
20/12	3.1	50.8
27/12	5.4	32.6
3/1	5.3	39.5
10/1	6.2	51.8
17/1	7.2	57.9
24/1	9.4	69.4
31/1	10.0	61.1
7/2	11.5	71.0
14/2	7.9	68.6
21/2	12.7	21.2
28/2	7.1	44.3
7/3	6.6	52.6
14/3	4.5	38.6
21/3	5.7	34.8
28/3	5.2	40.1
4/4	4.8	41.5
11/4	3.2	41.6
18/4	4.1	41.4
25/4	4.4	46.9
2/5	2.9	42.2
9/5	4.1	43.3
16/5	4.7	43.1
23/5	3.8	58.3
30/5	7.0	51.0
6/6	6.2	45.8
13/6	10.9	58.7
20/6	11.2	53.0
27/6	9.8	52.4
4/7	9.2	46.8
11/7	9.4	40.5
18/7	5.9	48.8
25/7	5.7	35.3
1/8	8.0	31.4
8/8	5.2	36.0
15/8	5.0	29.9
22/8	5.2	30.1
29/8	4.7	44.2
5/9	3.9	37.6
12/9	3.6	40.7
19/9	3.6	49.2
26/9	6.9	38.7
3/10	3.6	48.2
10/10	4.6	39.6
17/10	4.5	38.0
24/10	4.0	42.4
31/10	3.8	34.1
7/11	3.5	38.7
14/11	4.4	46.6
21/11	4.3	41.3
28/11	5.3	42.6
5/12	3.4	47.4
12/12	5.1	45.8
19/12	5.4	45.4
26/12	4.1	39.9
2/1	5.1	46.2
9/1	5.6	39.9
16/1	4.7	55.3
23/1	5.8	69.0
30/1	5.6	40.1
6/2	7.5	53.4
13/2	10.6	54.7
20/2	9.0	47.6
27/2	9.5	67.7
5/3	11.7	82.3
12/3	10.0	70.2
19/3	8.2	69.7
