"","Day","Mean Pressure (hPa)","Absolute Daily Max Air Temperature (deg. C)","Mean Air Temperature (deg. C)","Absolute Daily Min Air Temperature (deg. C)","Mean Dew Point (deg. C)","Mean Relative Humidity (%)","Mean Amount of Cloud (%)","Total Rainfall (mm)","Total Bright Sunshine (hours)","Prevailing Wind Direction (degrees)","Mean Wind Speed (km/h)","WeekID","GP","Date"
"32",1,1015.1,23.8,21.6,19.7,18.6,84,76,"0",9.7,"210#","9.6#",5,5.28571428571429,2010-02-01
"33",2,1015.5,20.8,19,18.2,17.2,89,86,"Trace",0,"020#","21.0#",5,5.28571428571429,2010-02-02
"34",3,1016.8,19.5,18.2,17,16.4,89,88,"Trace",0,"40","29.6",5,5.28571428571429,2010-02-03
"35",4,1017.7,18.1,17.2,16.3,15.8,91,89,"0.4",0,"30","33.4",5,5.28571428571429,2010-02-04
"36",5,1017.6,17.9,17.4,16.8,15.6,89,90,"Trace",0,"40","34.3",5,5.28571428571429,2010-02-05
"37",6,1017.4,18,17.5,16.9,15.9,90,92,"Trace",0,"40","29.4",6,7.54285714285714,2010-02-06
"38",7,1017.7,17.6,17.1,16.3,16.5,96,92,"94.1",0,"40","33.3",6,7.54285714285714,2010-02-07
"39",8,1015.9,19,18,17.2,17.4,97,88,"7.1",0.1,"20","20.5",6,7.54285714285714,2010-02-08
"40",9,1014.4,23.8,21.6,19,20.4,93,87,"0",1.5,"20","14.7",6,7.54285714285714,2010-02-09
"41",10,1013.2,25.8,24.1,22.8,21.5,85,84,"Trace",1.2,"170","21.3",6,7.54285714285714,2010-02-10
"42",11,1013.9,26.9,25,23.9,21.5,81,85,"Trace",2.7,"200","18.3",6,7.54285714285714,2010-02-11
"43",12,1020,24.5,16.7,11.9,12.9,79,87,"Trace",0,"360","24.8",6,7.54285714285714,2010-02-12
"44",13,1019.8,14.8,13.2,11.6,11.3,89,92,"1.7",0,"30","39.2",7,7.71428571428571,2010-02-13
"45",14,1015.5,16.3,15.4,14.6,15,97,96,"2.3",0,"30","27.2",7,7.71428571428571,2010-02-14
"46",15,1018.9,15.2,12.6,10.8,11.5,93,92,"0.6",0,"360","19.6",7,7.71428571428571,2010-02-15
"47",16,1022.3,11.2,10.2,9.1,8.2,88,88,"0.6",0,"360","28.7",7,7.71428571428571,2010-02-16
"48",17,1022.8,10.5,9.7,8.9,7.5,87,88,"1",0,"360","29.9",7,7.71428571428571,2010-02-17
"49",18,1024.1,10.5,9.1,8.2,6.6,84,94,"0.8",0,"360","28.3",7,7.71428571428571,2010-02-18
"50",19,1022.7,11.2,9.5,7.7,7.7,89,92,"3.7",0,"360","20.4",7,7.71428571428571,2010-02-19
"51",20,1020,15.9,13.2,10.7,9.7,80,88,"Trace",2,"30","19",8,6.11428571428571,2010-02-20
"52",21,1017.2,18.7,15.9,14,12.4,80,84,"Trace",3.7,"30","23.9",8,6.11428571428571,2010-02-21
"53",22,1015.6,19.1,17.7,16.7,15.5,87,88,"0.1",0.1,"20","18.9",8,6.11428571428571,2010-02-22
"54",23,1014.1,23.8,20.1,17.9,17.7,86,86,"0",4,"20","10",8,6.11428571428571,2010-02-23
"55",24,1010.3,24.4,22.3,20.2,20.1,88,87,"Trace",1.4,"160","19.4",8,6.11428571428571,2010-02-24
"56",25,1009.4,26.3,24.5,22.9,22.3,87,88,"0.4",1.3,"180","20.6",8,6.11428571428571,2010-02-25
"57",26,1009.7,25.8,24.6,23,22.5,88,88,"0.3",0.4,"190","15.7",8,6.11428571428571,2010-02-26
"58",27,1011.7,27.1,24.7,23.1,22.7,89,86,"Trace",2,"180","13.8",9,7.87142857142857,2010-02-27
"59",28,1014.3,26.2,23.9,22,22.3,91,87,"Trace",1.7,"130","9.7",9,7.87142857142857,2010-02-28
"60",1,1014,24,22.1,21.1,21.1,94,88,"0",0.5,"20","12.5",9,7.87142857142857,2010-03-01
"61",2,1012,26.2,24.6,22.5,22.3,87,83,"0",0.4,"160","12.8",9,7.87142857142857,2010-03-02
"62",3,1011.7,26.9,24.7,23.3,22.6,88,84,"0",1.2,"140","19.9",9,7.87142857142857,2010-03-03
"63",4,1011.2,25.8,24.5,23,22.4,88,86,"0.1",0.1,"150","18.3",9,7.87142857142857,2010-03-04
"64",5,1010.9,27.5,25.8,24.1,22.5,82,84,"Trace",4.7,"160","18.8",9,7.87142857142857,2010-03-05
"65",6,1012.3,27.4,25.7,24.6,22.8,84,82,"Trace",0.9,"170","19.8",10,7.3,2010-03-06
"66",7,1015.6,25.5,18.9,17,17.5,92,94,"4.9",0,"20","23",10,7.3,2010-03-07
"67",8,1017.4,17.8,16.7,13.2,15.7,94,98,"0.5",0,"50","33.6",10,7.3,2010-03-08
"68",9,1025,13.3,10.5,8.9,6.2,75,88,"2.7",0,"360","54.4",10,7.3,2010-03-09
"69",10,1027.6,16.8,12.1,8.1,1.5,48,35,"0",10.3,"10","31.3",10,7.3,2010-03-10
"70",11,1024.1,19.8,15.4,12.1,8.3,63,41,"0",9.7,"70","16.9",10,7.3,2010-03-11
"71",12,1019.7,17.8,16.8,15.7,14.3,85,84,"0.4",0,"30","21.9",10,7.3,2010-03-12
"72",13,1016.2,20.3,18.8,17.4,17.6,93,89,"Trace",0.1,"30","18.4",11,7.28571428571429,2010-03-13
"73",14,1014.4,21.6,20,18.9,19.4,96,88,"Trace",1.2,"20","18",11,7.28571428571429,2010-03-14
"74",15,1015,26.6,22.9,20.8,21.6,92,65,"Trace",7,"10","5.8",11,7.28571428571429,2010-03-15
"75",16,1020.4,21.9,19.2,17.8,16.7,86,85,"Trace",0,"20","23.3",11,7.28571428571429,2010-03-16
"76",17,1022.6,20.7,19,17.3,14.8,77,87,"0",0.2,"60","22.5",11,7.28571428571429,2010-03-17
"77",18,1020.2,24.4,20.9,18.7,17.1,79,60,"0",9,"30","5.1",11,7.28571428571429,2010-03-18
"78",19,1016.3,25.2,21.2,18.9,16.9,78,29,"0",10.2,"30","10.2",11,7.28571428571429,2010-03-19
"79",20,1013.4,24.5,21.9,19.7,18.7,82,79,"Trace",1,"300","6.8",12,8.44285714285714,2010-03-20
"80",21,1013.7,28.1,22.7,20.1,18.9,80,50,"0",8.7,"90","14.5",12,8.44285714285714,2010-03-21
"81",22,1013.3,25.5,21.5,19.3,17.3,77,66,"0",8.3,"40","23",12,8.44285714285714,2010-03-22
"82",23,1010.9,26.4,22.9,20.8,20.8,88,82,"0",3.4,"30","14.5",12,8.44285714285714,2010-03-23
"83",24,1010.2,29.1,24.4,20.3,21.8,86,71,"Trace",4.7,"100","5.3",12,8.44285714285714,2010-03-24
"84",25,1017.5,20.2,16.7,14.7,11.1,71,88,"8.9",0.3,"360","45.9",12,8.44285714285714,2010-03-25
"85",26,1021.2,20.9,17.5,14.7,7.4,52,28,"0",10.3,"80","34",12,8.44285714285714,2010-03-26
"86",27,1021.3,20.9,18.3,16.5,12.1,67,86,"0",0.5,"50","27.7",13,8.57142857142857,2010-03-27
"87",28,1020.3,24.7,19.9,17,13.2,66,32,"0",10,"70","21.8",13,8.57142857142857,2010-03-28
"88",29,1020,19.4,18.5,17.1,11.2,63,72,"0",0.6,"70","45.7",13,8.57142857142857,2010-03-29
"89",30,1018.2,20.5,19,17.9,16,83,87,"Trace",0.1,"50","40.3",13,8.57142857142857,2010-03-30
"90",31,1016,24.9,21.6,19.9,18.8,84,77,"Trace",6.7,"40","21.5",13,8.57142857142857,2010-03-31
"91",1,1013.6,26.2,23,21.1,21,89,82,"Trace",2.3,"20","9.2",13,8.57142857142857,2010-04-01
"92",2,1015.1,24.8,21.2,18.4,19.8,92,87,"2",1,"20","20",13,8.57142857142857,2010-04-02
"93",3,1017.6,18.4,18.1,17.6,16.1,88,88,"Trace",0,"60","42",14,7.58571428571429,2010-04-03
"94",4,1014.8,20.1,18.8,17.7,17.5,92,87,"Trace",0.1,"30","26.5",14,7.58571428571429,2010-04-04
"95",5,1012.4,21.7,20.5,19.4,19.7,95,87,"Trace",0.1,"20","15.5",14,7.58571428571429,2010-04-05
"96",6,1012.4,25.9,22.9,21.3,21.6,93,88,"Trace",0.9,"20","13.3",14,7.58571428571429,2010-04-06
"97",7,1016.7,22.4,19.6,18.1,18,91,88,"1.8",0,"50","36.6",14,7.58571428571429,2010-04-07
"98",8,1015.9,18.3,17.3,15.5,15.2,88,89,"9.6",0,"20","29.9",14,7.58571428571429,2010-04-08
"99",9,1013.4,21,19.3,17.7,17.1,87,85,"Trace",1.8,"40","15.8",14,7.58571428571429,2010-04-09
"100",10,1011,19.9,19.3,18.7,18.6,96,90,"1.7",0,"20","21.1",15,7.14285714285714,2010-04-10
"101",11,1008.8,26.2,23.6,19.9,22,91,84,"Trace",0.9,"170","18.7",15,7.14285714285714,2010-04-11
"102",12,1009.4,28.4,26.1,24.4,23.8,87,78,"0",2.1,"170","12.5",15,7.14285714285714,2010-04-12
"103",13,1013.8,29.5,24.6,19.5,22.9,91,83,"0.9",3.8,"150","22.6",15,7.14285714285714,2010-04-13
"104",14,1016.9,19.8,19.1,18.1,17.4,90,89,"0.3",0,"70","39.6",15,7.14285714285714,2010-04-14
"105",15,1018.1,19.7,16.6,13.5,15.6,94,87,"8.2",0,"360","28.5",15,7.14285714285714,2010-04-15
"106",16,1020,18.3,16.5,14.3,13.6,83,88,"Trace",0,"20","23.5",15,7.14285714285714,2010-04-16
"107",17,1019.2,19.6,18.4,16.4,15.6,84,88,"2",0,"60","34",16,7.35714285714286,2010-04-17
"108",18,1016.1,20.4,19.2,17.8,17.9,92,88,"3.1",0.1,"50","26.8",16,7.35714285714286,2010-04-18
"109",19,1012.3,25.5,22,20.2,20.1,89,80,"Trace",5.2,"30","15.2",16,7.35714285714286,2010-04-19
"110",20,1010.4,25.6,23.3,21.7,22.3,94,84,"1.1",0.5,"20","11.4",16,7.35714285714286,2010-04-20
"111",21,1010,28.4,26,23.7,23.6,87,85,"0",2,"160","16.3",16,7.35714285714286,2010-04-21
"112",22,1010.9,28.4,24.4,21.1,22,87,87,"6.8",0.5,"190","17.1",16,7.35714285714286,2010-04-22
"113",23,1016.7,25.9,21,18.7,15.2,70,74,"0",6.4,"350","27.6",16,7.35714285714286,2010-04-23
"114",24,1018.2,24.8,21.4,19.6,14.9,67,63,"Trace",8.4,"80","33.7",17,6.9,2010-04-24
"115",25,1017.4,23.6,20.6,19.2,15.5,73,84,"0",1.7,"70","37.4",17,6.9,2010-04-25
"116",26,1016.8,24.7,21.8,20.4,18.2,80,86,"0.2",2.7,"50","20.9",17,6.9,2010-04-26
"117",27,1016,24.8,21.6,19.8,17.3,76,85,"Trace",0.7,"10","11.5",17,6.9,2010-04-27
"118",28,1014.4,25.8,22.8,21.2,19.3,81,85,"Trace",0.7,"30","9.4",17,6.9,2010-04-28
"119",29,1015.3,24.2,21.1,18.1,19.2,89,87,"40.6",0.4,"60","28.5",17,6.9,2010-04-29
"120",30,1016.7,26,21.3,18.2,18.3,84,78,"0.6",6.9,"40","25.6",17,6.9,2010-04-30
"121",1,1015.4,28.1,23.5,20.8,20.1,82,71,"0",7.3,"20","12.4",18,7.15714285714286,2010-05-01
"122",2,1013.3,28.5,24.8,22.3,21,80,45,"0",9.1,"10","5.7",18,7.15714285714286,2010-05-02
"123",3,1012.1,27.8,24.2,22.2,20.7,82,46,"0",8.8,"60","16.3",18,7.15714285714286,2010-05-03
"124",4,1009.6,26.8,24.1,23,21.8,88,84,"Trace",2.2,"80","21.8",18,7.15714285714286,2010-05-04
"125",5,1007.5,27.8,25.9,23.6,23.6,87,88,"Trace",1,"140","11.2",18,7.15714285714286,2010-05-05
"126",6,1007,28.7,27.3,26,25,87,85,"0.2",0.7,"180","26.4",18,7.15714285714286,2010-05-06
"127",7,1007,28.3,25.3,23,23.9,92,87,"29.1",0.9,"260","18.6",18,7.15714285714286,2010-05-07
"128",8,1006.8,27.2,25.6,24.5,24.1,92,84,"0",3.6,"20","10.5",19,6.8,2010-05-08
"129",9,1005.9,30,27,24.6,24.3,86,84,"3.9",5.9,"20","14.4",19,6.8,2010-05-09
"130",10,1008.1,26.4,23.9,21.9,22.9,94,84,"27.6",0,"90","10.8",19,6.8,2010-05-10
"131",11,1011.7,26.4,23.9,22.6,21.9,89,91,"0.3",1.9,"70","26.1",19,6.8,2010-05-11
"132",12,1012.2,26.6,24,23.2,21.6,87,88,"Trace",2.4,"70","27.9",19,6.8,2010-05-12
"133",13,1010.7,26.1,23.9,22.6,22.2,90,88,"0.7",1.8,"80","25",19,6.8,2010-05-13
"134",14,1009,25.7,24.5,23.7,23.3,93,87,"Trace",1.1,"80","20.4",19,6.8,2010-05-14
"135",15,1009.6,26.5,23.9,23,22.6,92,88,"11.9",2.4,"40","24.8",20,7,2010-05-15
"136",16,1011.1,26.9,24.1,22.7,22.7,92,85,"0.8",3.2,"40","23.8",20,7,2010-05-16
"137",17,1011.6,27.3,25.2,24.1,23.2,89,80,"Trace",3.9,"30","19.5",20,7,2010-05-17
"138",18,1010.2,29.6,27.3,25,24.5,85,72,"Trace",3.9,"190","8.9",20,7,2010-05-18
"139",19,1009.2,28.8,26,22.6,24,89,79,"55.7",0.2,"190","16.1",20,7,2010-05-19
"140",20,1010.1,29.9,25.9,22.6,23.4,87,73,"8.1",4.4,"190","13.6",20,7,2010-05-20
"141",21,1008.7,30.7,28.5,26.3,25.6,84,82,"Trace",2.8,"170","20.1",20,7,2010-05-21
"142",22,1004.5,29.6,29,28.2,25.5,82,86,"Trace",0.2,"200","38.2",21,7.75714285714286,2010-05-22
"143",23,1003.2,29,26,23.9,22.2,80,81,"10.1",0,"350","21",21,7.75714285714286,2010-05-23
"144",24,1006.9,29.5,25.6,22.7,18.2,65,30,"0",12.3,"360","16.8",21,7.75714285714286,2010-05-24
"145",25,1008,29.6,25.9,23.1,21.1,75,32,"0",12.4,"70","18.8",21,7.75714285714286,2010-05-25
"146",26,1007.5,29.9,26.6,24.1,22.1,77,72,"0",9.6,"060#","31.1#",21,7.75714285714286,2010-05-26
"147",27,1007.6,27.5,26.1,25,23.6,86,84,"Trace",0.5,"40","27.7",21,7.75714285714286,2010-05-27
"148",28,1008.4,29.6,26.9,24.9,24,84,74,"0",8.6,"100","14.5",21,7.75714285714286,2010-05-28
"149",29,1006.9,29.2,27,24.6,24.9,89,87,"22.6",0.4,"220","15.3",22,6.54285714285714,2010-05-29
"150",30,1006.3,28.9,26.5,25.5,24.9,91,87,"5.3",0.6,"80","5.4",22,6.54285714285714,2010-05-30
"151",31,1007.9,25.7,24.7,23.9,22.8,89,88,"0.3",0,"70","26.5",22,6.54285714285714,2010-05-31
"152",1,1008,26.8,24.2,21.2,21.2,84,88,"16.1",1.7,"70","34.6",22,6.54285714285714,2010-06-01
"153",2,1008.3,23.4,21.7,20.4,21.2,97,93,"29.3",0,"60","45",22,6.54285714285714,2010-06-02
"154",3,1010.2,25.3,22.7,20.5,21,90,86,"1",3.2,"10","17",22,6.54285714285714,2010-06-03
"155",4,1010.1,26.8,24.7,22.8,21.9,85,89,"Trace",1.1,"90","7.3",22,6.54285714285714,2010-06-04
"156",5,1009.6,28,24.9,22.9,22.1,85,84,"8.2",3.4,"110","15.3",23,6.04285714285714,2010-06-05
"157",6,1010.3,28.2,25.2,23.5,21.5,80,59,"0",8.5,"90","15.3",23,6.04285714285714,2010-06-06
"158",7,1010.8,28.5,25.5,23.9,21.7,80,49,"0",10.8,"100","14.5",23,6.04285714285714,2010-06-07
"159",8,1009.5,28.7,25.6,24,22.7,84,84,"Trace",6,"90","20.5",23,6.04285714285714,2010-06-08
"160",9,1007.9,27.1,25.6,24.3,24.3,93,87,"16.7",0,"120","17.3",23,6.04285714285714,2010-06-09
"161",10,1008.5,26.5,25.4,24.8,24.9,97,92,"58.4",0,"120","8.9",23,6.04285714285714,2010-06-10
"162",11,1008.5,30.1,27.2,25.5,24.7,87,83,"Trace",4.5,"210","9.8",23,6.04285714285714,2010-06-11
"163",12,1008.2,30.7,28.1,25.8,24.8,83,85,"Trace",4.8,"180","6.5",24,7.64285714285714,2010-06-12
"164",13,1007.4,29.6,28.4,26,26,87,84,"29",0.4,"210","26.7",24,7.64285714285714,2010-06-13
"165",14,1006.9,31.2,29.3,27.1,26,83,86,"6.4",2.2,"210","32",24,7.64285714285714,2010-06-14
"166",15,1006.4,30.1,29.3,28.6,26.1,84,86,"0.1",0,"210","30.9",24,7.64285714285714,2010-06-15
"167",16,1006.8,30.6,29.4,27.8,26.2,83,86,"3.8",1.1,"200","32.3",24,7.64285714285714,2010-06-16
"168",17,1007.6,31.4,29.7,28.9,25.8,80,83,"Trace",2.1,"200","30",24,7.64285714285714,2010-06-17
"169",18,1008.1,31.4,29.8,28.7,25.5,78,83,"0",5.1,"200","29.4",24,7.64285714285714,2010-06-18
"170",19,1008.2,31.5,29.7,28.6,25.2,77,74,"Trace",8.3,"200","23.3",25,5.81428571428571,2010-06-19
"171",20,1007.3,31.5,29.5,27.9,25.5,79,85,"1.9",4.3,"210","24.5",25,5.81428571428571,2010-06-20
"172",21,1007.5,32,29.6,28.3,25.3,78,76,"1.4",4.7,"190","20.5",25,5.81428571428571,2010-06-21
"173",22,1008.6,31.5,29.3,27.9,25.4,80,82,"4.6",4.1,"200","18.8",25,5.81428571428571,2010-06-22
"174",23,1007.7,30.1,28,24.4,25.2,85,84,"41",1.9,"200","16.4",25,5.81428571428571,2010-06-23
"175",24,1003.6,30.2,29,25.6,26.1,84,88,"39",1,"210","31.8",25,5.81428571428571,2010-06-24
"176",25,1001.8,29.8,28.8,27.6,25.6,83,88,"2.9",0.1,"220","32.7",25,5.81428571428571,2010-06-25
"177",26,1005.1,27.8,26.1,25,24.9,93,92,"127.6",0,"240","16.6",26,6.34285714285714,2010-06-26
"178",27,1006.9,26.6,25.6,25,24.8,95,88,"44.2",0,"150","17.8",26,6.34285714285714,2010-06-27
"179",28,1007.3,28.6,25.5,24.5,24.9,96,90,"43.2",0.1,"80","13.5",26,6.34285714285714,2010-06-28
"180",29,1009,30.3,27.3,25,25.5,90,54,"0.1",6.4,"40","13.9",26,6.34285714285714,2010-06-29
"181",30,1008.9,32.7,29.1,26.9,25.5,81,32,"0",6.7,"90","6.5",26,6.34285714285714,2010-06-30
"182",1,1008.4,32.4,29.5,26.9,24.8,76,33,"0",11.8,"210","10.2",26,6.34285714285714,2010-07-01
"183",2,1007.7,32.8,30,27.8,25.1,76,35,"0",12.4,"210","19.4",26,6.34285714285714,2010-07-02
"184",3,1008.4,32.7,30.1,28.3,25.3,76,46,"0",10.1,"220","26.7",27,6.34285714285714,2010-07-03
"185",4,1008.4,32.7,30.1,28.7,25.9,79,55,"Trace",11.2,"230","30.7",27,6.34285714285714,2010-07-04
"186",5,1006.7,33,30.1,28.6,25.8,78,54,"0",11.1,"220","36.8",27,6.34285714285714,2010-07-05
"187",6,1006.9,31.7,30,28.8,25.9,79,83,"Trace",7.7,"220","33.3",27,6.34285714285714,2010-07-06
"188",7,1008.2,32.1,30.2,28.9,25.8,78,78,"Trace",9.4,"210","24.5",27,6.34285714285714,2010-07-07
"189",8,1008.1,33.6,30.6,28.4,25.9,76,69,"0.4",10.6,"210","23.5",27,6.34285714285714,2010-07-08
"190",9,1008.2,31.1,29.8,27.9,25.2,76,83,"1.7",8.1,"210","22.8",27,6.34285714285714,2010-07-09
"191",10,1009,33,29.8,27,24.9,76,64,"3.9",10.2,"210","18.4",28,6.82857142857143,2010-07-10
"192",11,1008.9,32.8,30,27.3,25.1,76,61,"1.8",11.2,"210","18.7",28,6.82857142857143,2010-07-11
"193",12,1008.4,33.5,30.2,28.2,25.2,75,55,"Trace",10.1,"190#","16.2#",28,6.82857142857143,2010-07-12
"194",13,1008.5,32.7,29.9,28.3,25.8,79,61,"Trace",9,"120","12.4",28,6.82857142857143,2010-07-13
"195",14,1008.4,33.9,30.2,28.3,26,79,73,"0",7.9,"60","18.9",28,6.82857142857143,2010-07-14
"196",15,1007.5,32.5,29.2,26.4,26.6,86,89,"8.4",4.9,"90","23.1",28,6.82857142857143,2010-07-15
"197",16,1008.3,31.7,27.6,25.3,25.3,88,77,"17.8",8.3,"120","23.9",28,6.82857142857143,2010-07-16
"198",17,1010.5,31.9,27.7,23.6,25.6,89,85,"40",9.6,"120","19.3",29,5.72857142857143,2010-07-17
"199",18,1011.1,32.1,28.1,24.4,25.5,86,61,"1.1",10,"10","7.3",29,5.72857142857143,2010-07-18
"200",19,1009.3,33.6,29.7,27.3,25,77,33,"0",10.9,"160","6.2",29,5.72857142857143,2010-07-19
"201",20,1008.6,33,29.5,27.8,25.8,81,57,"0",9.1,"80","10.3",29,5.72857142857143,2010-07-20
"202",21,1007.4,30,27.4,24.8,25.8,91,88,"29.6",0.9,"80","29.3",29,5.72857142857143,2010-07-21
"203",22,1006.9,29.5,27.2,24.6,26,93,88,"182.4",0.2,"120","35.6",29,5.72857142857143,2010-07-22
"204",23,1007.8,30.1,27.6,25.4,25.9,91,86,"14.6",1.5,"100","17.8",29,5.72857142857143,2010-07-23
"205",24,1008.1,31.9,28.3,25.6,25.6,86,80,"1.1",9,"90","13.7",30,7.35714285714286,2010-07-24
"206",25,1007.5,32.3,29.2,27.1,25.5,81,58,"0",10.6,"110","8.3",30,7.35714285714286,2010-07-25
"207",26,1007.5,32.3,29.2,27.5,25.3,80,72,"0",9.1,"210","12.9",30,7.35714285714286,2010-07-26
"208",27,1008.2,30.1,27.9,26.4,25.2,86,90,"33.6",2.9,"220","24.3",30,7.35714285714286,2010-07-27
"209",28,1008.3,29.4,26.9,23.9,25.3,91,93,"122.5",0,"210","23.5",30,7.35714285714286,2010-07-28
"210",29,1006.9,31.8,28.5,24.5,25.2,83,86,"4.6",4.6,"220","25.6",30,7.35714285714286,2010-07-29
"211",30,1006.9,32.4,29.6,26.9,25.8,80,79,"5.1",7.8,"220","22.8",30,7.35714285714286,2010-07-30
"212",31,1008.2,33.4,30.1,28,25.7,78,70,"0.8",7.6,"210","16.6",31,7.62857142857143,2010-07-31
"213",1,1010.3,32.7,30,28.3,25.9,79,51,"Trace",9.2,"130","16.1",31,7.62857142857143,2010-08-01
"214",2,1010.3,32.7,29.4,28,25.4,79,64,"1.1",8.5,"200","14.4",31,7.62857142857143,2010-08-02
"215",3,1007.5,32.2,29.1,27.3,24.4,76,39,"Trace",10.4,"230","17.9",31,7.62857142857143,2010-08-03
"216",4,1005.1,33.1,30,27.5,24.7,74,28,"0",10.7,"270","18.8",31,7.62857142857143,2010-08-04
"217",5,1005.5,33.7,29.4,24.3,25.2,79,62,"41.6",8.7,"30","13.5",31,7.62857142857143,2010-08-05
"218",6,1006,32.2,28.4,25,24.8,81,82,"1.6",6.4,"40","20.7",31,7.62857142857143,2010-08-06
"219",7,1004.5,32.2,28.8,25.7,25.7,84,81,"39.1",6.1,"80","23.9",32,6.67142857142857,2010-08-07
"220",8,1003.5,32.2,28.8,25.8,25.8,84,84,"18",7.4,"80","28",32,6.67142857142857,2010-08-08
"221",9,1003.9,32.6,29.6,27.7,26.2,82,76,"0.2",10.2,"90","17.3",32,6.67142857142857,2010-08-09
"222",10,1006.2,33.7,30.2,28,25.6,77,46,"Trace",8.8,"170","8.9",32,6.67142857142857,2010-08-10
"223",11,1008.7,30.1,28.3,26.9,26.1,88,69,"22.2",1.8,"110","6.4",32,6.67142857142857,2010-08-11
"224",12,1009.5,32.6,29.3,27.1,25.2,79,61,"3",6.7,"190","11.7",32,6.67142857142857,2010-08-12
"225",13,1008.7,32.7,29.8,27.9,25.7,79,54,"3.8",8,"200","13",32,6.67142857142857,2010-08-13
"226",14,1009.2,31.7,29.4,28,25.3,79,56,"8.7",6.9,"190","11",33,5.92857142857143,2010-08-14
